PurchaseID,FunctionID,LoanItemID,EmployeeID,,Concat
1,3,163,11,,"1,3,163,11"
2,3,256,15,,"2,3,256,15"
3,3,116,15,,"3,3,116,15"
4,3,169,12,,"4,3,169,12"
5,3,208,11,,"5,3,208,11"
6,3,401,14,,"6,3,401,14"
7,3,485,15,,"7,3,485,15"
8,3,22,11,,"8,3,22,11"
9,3,118,12,,"9,3,118,12"
10,3,63,15,,"10,3,63,15"
11,3,134,15,,"11,3,134,15"
12,3,259,12,,"12,3,259,12"
13,3,360,13,,"13,3,360,13"
14,3,262,12,,"14,3,262,12"
15,3,58,14,,"15,3,58,14"
16,3,198,13,,"16,3,198,13"
17,3,216,12,,"17,3,216,12"
18,3,83,13,,"18,3,83,13"
19,3,374,15,,"19,3,374,15"
20,3,248,13,,"20,3,248,13"
21,3,345,13,,"21,3,345,13"
22,3,259,11,,"22,3,259,11"
23,3,293,12,,"23,3,293,12"
24,3,335,15,,"24,3,335,15"
25,3,118,14,,"25,3,118,14"
26,3,169,13,,"26,3,169,13"
27,3,360,14,,"27,3,360,14"
28,3,160,13,,"28,3,160,13"
29,3,66,11,,"29,3,66,11"
30,3,60,15,,"30,3,60,15"
31,3,293,11,,"31,3,293,11"
32,3,53,15,,"32,3,53,15"
33,3,254,13,,"33,3,254,13"
34,3,1,14,,"34,3,1,14"
35,3,99,13,,"35,3,99,13"
36,3,366,11,,"36,3,366,11"
37,3,190,11,,"37,3,190,11"
38,3,69,11,,"38,3,69,11"
39,3,454,15,,"39,3,454,15"
40,3,53,13,,"40,3,53,13"
41,3,374,11,,"41,3,374,11"
42,3,22,15,,"42,3,22,15"
43,3,97,11,,"43,3,97,11"
44,3,66,11,,"44,3,66,11"
45,3,66,15,,"45,3,66,15"
46,3,489,15,,"46,3,489,15"
47,3,312,15,,"47,3,312,15"
48,3,241,15,,"48,3,241,15"
49,3,45,15,,"49,3,45,15"
50,3,378,15,,"50,3,378,15"
51,3,366,11,,"51,3,366,11"
52,3,204,11,,"52,3,204,11"
53,3,204,15,,"53,3,204,15"
54,3,69,14,,"54,3,69,14"
55,3,199,11,,"55,3,199,11"
56,3,490,11,,"56,3,490,11"
57,3,279,14,,"57,3,279,14"
58,3,153,15,,"58,3,153,15"
59,3,53,13,,"59,3,53,13"
60,3,215,14,,"60,3,215,14"
61,3,249,14,,"61,3,249,14"
62,3,327,11,,"62,3,327,11"
63,3,234,14,,"63,3,234,14"
64,3,21,11,,"64,3,21,11"
65,3,69,11,,"65,3,69,11"
66,3,347,11,,"66,3,347,11"
67,3,371,13,,"67,3,371,13"
68,3,213,11,,"68,3,213,11"
69,3,123,12,,"69,3,123,12"
70,3,213,12,,"70,3,213,12"
71,3,265,14,,"71,3,265,14"
72,3,345,12,,"72,3,345,12"
73,3,84,13,,"73,3,84,13"
74,3,66,14,,"74,3,66,14"
75,3,341,15,,"75,3,341,15"
76,3,118,12,,"76,3,118,12"
77,3,334,14,,"77,3,334,14"
78,3,276,14,,"78,3,276,14"
79,3,230,15,,"79,3,230,15"
80,3,353,14,,"80,3,353,14"
81,3,125,11,,"81,3,125,11"
82,3,409,15,,"82,3,409,15"
83,3,332,12,,"83,3,332,12"
84,3,351,15,,"84,3,351,15"
85,3,230,14,,"85,3,230,14"
86,3,189,12,,"86,3,189,12"
87,3,483,13,,"87,3,483,13"
88,3,36,12,,"88,3,36,12"
89,3,23,11,,"89,3,23,11"
90,3,180,15,,"90,3,180,15"
91,3,279,13,,"91,3,279,13"
92,3,165,11,,"92,3,165,11"
93,3,279,12,,"93,3,279,12"
94,3,125,12,,"94,3,125,12"
95,3,140,14,,"95,3,140,14"
96,3,4,13,,"96,3,4,13"
97,3,251,13,,"97,3,251,13"
98,3,99,12,,"98,3,99,12"
99,3,79,11,,"99,3,79,11"
100,3,58,15,,"100,3,58,15"
101,3,164,12,,"101,3,164,12"
102,3,360,13,,"102,3,360,13"
103,3,129,11,,"103,3,129,11"
104,3,383,14,,"104,3,383,14"
105,3,259,12,,"105,3,259,12"
106,3,209,11,,"106,3,209,11"
107,3,475,15,,"107,3,475,15"
108,3,9,13,,"108,3,9,13"
109,3,99,15,,"109,3,99,15"
110,3,262,15,,"110,3,262,15"
111,3,366,14,,"111,3,366,14"
112,3,183,11,,"112,3,183,11"
113,3,170,15,,"113,3,170,15"
114,3,429,12,,"114,3,429,12"
115,3,236,11,,"115,3,236,11"
116,3,366,15,,"116,3,366,15"
117,3,335,14,,"117,3,335,14"
118,3,254,14,,"118,3,254,14"
119,3,390,11,,"119,3,390,11"
120,3,386,11,,"120,3,386,11"
121,3,454,11,,"121,3,454,11"
122,3,191,14,,"122,3,191,14"
123,3,250,14,,"123,3,250,14"
124,3,345,15,,"124,3,345,15"
125,3,400,12,,"125,3,400,12"
126,3,28,13,,"126,3,28,13"
127,3,206,12,,"127,3,206,12"
128,3,360,12,,"128,3,360,12"
129,3,53,15,,"129,3,53,15"
130,3,465,13,,"130,3,465,13"
131,3,263,13,,"131,3,263,13"
132,3,127,15,,"132,3,127,15"
133,3,377,11,,"133,3,377,11"
134,3,159,14,,"134,3,159,14"
135,3,324,11,,"135,3,324,11"
136,3,458,13,,"136,3,458,13"
137,3,499,12,,"137,3,499,12"
138,3,127,12,,"138,3,127,12"
139,3,138,15,,"139,3,138,15"
140,3,259,14,,"140,3,259,14"
